,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,301.8714742978106,9.604489418486452,23.296288929202316,5.633940827008267
1,1000,True,False,1.1738812270539576,0.12388720829357125,301.8060563956588,8.512751368518991,29.587591215781888,4.9625846631527875
2,2000,True,True,1.0,0.1,314.13009258275065,5.863834962210632,25.483990281990827,3.493443958693817
3,2000,True,False,0.9815959912241213,0.11128233397991372,314.16626405010084,6.042874664119012,24.89949424416201,5.341464495417592
4,3000,True,True,1.0,0.1,314.10281641363673,4.732425313360864,23.71163421317863,2.6981503082878664
5,3000,True,False,1.0963658494941402,0.09698194842405994,314.1006766753868,4.740465123883155,26.57677600757351,3.713737313974997
6,4000,True,True,1.0,0.1,310.3622315466321,4.060884915455148,22.34841896404446,2.2535279395415966
7,4000,True,False,1.0503289788118353,0.09179166321372678,310.46083721382115,4.018683545237906,23.931612239209418,3.400566589354016
8,5000,True,True,1.0,0.1,305.54133780134157,3.5305989051005042,21.112807903421263,1.8478043239329267
9,5000,True,False,1.135950625533512,0.09214027103322875,305.68523170691043,3.469261669490379,24.95365475021583,2.943972491675577
10,6000,True,True,1.0,0.1,306.8211241519791,3.1341654595474324,22.652532286202742,1.6667015444647824
11,6000,True,False,1.083524620798696,0.08324335193513066,306.7107754822627,3.124568961067979,24.74748399032428,2.5830264940928913
12,7000,True,True,1.0,0.1,309.6463323852484,2.9457804576884143,20.9828435471351,1.6640413419458806
13,7000,True,False,1.0790398693566334,0.06418594173548198,309.7856356809159,2.9175656515292587,23.218518340047872,2.153260598904378
14,8000,True,True,1.0,0.1,306.70225096479436,2.748576319774571,19.93210493551247,1.5467513444185759
15,8000,True,False,1.0670349829047614,0.0612078785097232,306.88709027606757,2.7163273618183155,21.829156882866275,2.017076964872855
16,9000,True,True,1.0,0.1,305.3247437579597,2.5209422395247714,21.120549791803935,1.3132391521407598
17,9000,True,False,1.0968958141426606,0.07277470801703834,305.33364399534196,2.501222144528896,23.571226797935797,2.0918689309126357
