,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,304.6621698859211,10.746600235423301,20.8699931797066,6.020492668019188
1,1000,True,False,0.8769090127631242,0.1291357203928648,300.4202752682327,14.524632079346759,13.297120025784661,13.318204684570254
2,2000,True,True,1.0,0.1,293.20879929405146,6.243903520581966,21.84206611103837,3.5951939320623367
3,2000,True,False,0.8718156415261946,0.08865985790340991,291.9963907706092,6.926120615987401,16.739108657492217,5.233929225716814
4,3000,True,True,1.0,0.1,300.881455244806,4.823524017173781,20.52482288280031,2.5196028211975534
5,3000,True,False,0.9049642135483694,0.08216008734274122,299.8864765132283,5.186454089271194,16.849897534124697,4.116603601041044
6,4000,True,True,1.0,0.1,286.9336652903051,4.073910908698593,18.47078238480966,2.2405595330983434
7,4000,True,False,0.8938749001686482,0.4567845888864163,284.5067057258023,26.038102798391435,13.737320329510947,22.287834802557022
8,5000,True,True,1.0,0.1,296.33704727306866,3.4514566872645958,19.756360768480366,1.5934957797327982
9,5000,True,False,1.0687360471459855,0.06637601317773778,296.2214076213331,3.4276113082482027,21.418377610459977,2.0437548735832927
10,6000,True,True,1.0,0.1,301.32494793475945,3.17448966434452,19.644822896085753,1.5413690077383428
11,6000,True,False,0.9932255403323356,0.07564580313318364,301.2993782242843,3.185631731165188,19.443309430433573,2.610797954114025
12,7000,True,True,1.0,0.1,301.57286984090325,2.886037672145477,20.42261745988725,1.5787706213405563
13,7000,True,False,0.9811235974669583,0.07528715190509988,301.5044661598982,2.9241696678745654,19.84563850009494,2.731427395069389
14,8000,True,True,1.0,0.1,299.31663315085916,2.6475129329398044,20.513887235118485,1.3302205062563814
15,8000,True,False,1.0768319788151663,0.0650120646535377,299.28090467912483,2.6191141870345973,22.40407163376817,1.849995669095522
16,9000,True,True,1.0,0.1,298.2986299837753,2.4827659051032356,19.78626602535742,1.2972097184146385
17,9000,True,False,1.0587729816955285,0.07193403755139727,298.34094965361805,2.4617064410340106,21.28675744733527,2.033515415491575
