,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,294.4464986180123,10.560176851229528,17.92668720793022,4.833265406993913
1,1000,True,False,1.1989311113281058,0.1417919946907893,293.22648965799596,9.690487720490353,23.280235504882587,6.091502776637499
2,2000,True,True,1.0,0.1,301.6392826655632,6.439977254827312,20.706982952927856,3.4922221028336864
3,2000,True,False,1.080820689219884,0.10359434691199271,302.0625062707616,6.232909007859121,23.505834411593327,4.599157351245937
4,3000,True,True,1.0,0.1,302.0001062055629,4.734600848521637,21.6296081011887,2.5710635137389453
5,3000,True,False,1.0900965182843392,0.09576698309473636,302.23807688400933,4.6227840355108185,24.438916085398816,3.602256774886344
6,4000,True,True,1.0,0.1,303.1877009390183,4.019362636013852,20.496251533522578,2.048759000104349
7,4000,True,False,1.0836160151094585,0.08096078718102795,303.30150835412184,3.9479550984291336,22.758528195088623,2.863471541972457
8,5000,True,True,1.0,0.1,303.89586141359257,3.583896438096133,19.35181389054746,1.7222379101413807
9,5000,True,False,1.0710793240708214,0.07330382968813731,303.98518364347456,3.5287081123447024,21.141392874530318,2.4221285112076316
10,6000,True,True,1.0,0.1,305.9050375236283,3.313604387670523,18.625842879534666,1.7809304490486468
11,6000,True,False,1.041913521491172,0.06711989487402126,306.17855186987026,3.2583634259785867,19.885372752906456,2.2769317260283213
12,7000,True,True,1.0,0.1,307.3394360879723,2.9562827906918017,20.353692906806447,1.5596316866780295
13,7000,True,False,1.0766187115442292,0.07125066517106404,307.5124657148604,2.920156733227685,22.445815029308992,2.3225166914344673
14,8000,True,True,1.0,0.1,305.68046434237164,2.7410940473670564,19.582168198056554,1.48782540701559
15,8000,True,False,1.0645945608379073,0.06810881085772857,305.8616451456497,2.7224740989883003,21.342114327355382,2.2002872547160273
16,9000,True,True,1.0,0.1,307.006218507247,2.582322955580537,19.081042069405203,1.244698127561982
17,9000,True,False,1.066050879030189,0.055746826609038624,307.17711347893913,2.554049673998776,20.770622238117546,1.7675398204214208
