,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,316.4143345840387,7.756856177537827,34.61788687900812,21.714128841621122
1,1000,True,False,1.0191001060115952,0.1187487625925644,316.155010275738,8.254267995729151,34.99518345521087,24.35507441307951
2,2000,True,True,1.0,0.1,295.08087330393727,5.944928578901084,23.41012614617121,3.4328366917177657
3,2000,True,False,0.8824788661406143,0.09531870344991572,294.6783616856171,6.320351448775597,19.1292952067815,5.29654788541788
4,3000,True,True,1.0,0.1,301.39811641277214,4.713627524929365,21.364797594453456,2.4259770973784587
5,3000,True,False,0.9284393604920912,0.0857247447401362,301.0723100187375,4.884269616485142,18.922503321147637,3.953078647367038
6,4000,True,True,1.0,0.1,288.6492943029125,4.099345952530427,18.267227724465073,2.1587619224327295
7,4000,True,False,0.8576516495573413,0.059625172356903844,286.9282625163084,4.387255409910637,13.297370673767626,2.981833466993339
8,5000,True,True,1.0,0.1,288.37824989810593,3.3839897485945585,20.078020494561525,1.650622616378275
9,5000,True,False,0.999922402577354,0.07356600663089158,288.36255716883807,3.387938171201938,20.07429928117784,2.607640261529772
10,6000,True,True,1.0,0.1,289.24537267526216,3.1368017301809346,18.510590857323407,1.4734103130646528
11,6000,True,False,0.9825727815506604,0.07302028321934217,289.1112003679817,3.229028274911485,17.955278118864552,2.7466547738270437
12,7000,True,True,1.0,0.1,290.48768530445506,2.8523369392958102,18.92412270343132,1.3576343889860567
13,7000,True,False,0.996128257581953,0.05740128417439444,290.4950243622009,2.853445602541399,18.820024504809634,2.0741706183044233
14,8000,True,True,1.0,0.1,292.45037910907513,2.703661981808807,17.94274028061293,1.3903934047866944
15,8000,True,False,0.938732347496335,0.05376847368631493,291.966525256912,2.740347600057902,16.097893870232824,1.8672002327567032
16,9000,True,True,1.0,0.1,289.86007406436937,2.4965134842811096,17.815467205204428,1.2583402925105016
17,9000,True,False,0.964705623548882,0.05456207816597963,289.6000648667011,2.5480001300848016,16.809801290374164,2.006048531234369
