,N,valid,fs8_fixed,fs8,e_fs8,sigv,e_sigv,sigu,e_sigu
0,1000,True,True,1.0,0.1,279.1414064885979,7.421795585084226,32.603400918093456,5.690344915358558
1,1000,True,False,1.0704759137742943,0.1017595631697012,278.9456058606779,7.3342216406773275,34.999990274644446,17.22511205077355
2,2000,True,True,1.0,0.1,290.881661831108,5.266822546208601,33.514043520890354,4.3994322867425275
3,2000,True,False,1.0672990966564806,0.08124194210068647,290.47902384164263,5.120356635808633,34.999993127518,5.257674917188545
4,3000,True,True,1.0,0.1,298.37366082105154,4.846572517549447,22.784806737628063,3.3228278714882187
5,3000,True,False,1.2044067204487974,0.0901463348212711,299.56792188487117,4.55898663337328,30.21967198520646,3.4456134349205936
6,4000,True,True,1.0,0.1,292.33206073604134,3.781094211476244,25.496638628652903,2.2576955750300165
7,4000,True,False,1.03080121672608,0.06881051922627729,292.32426638069614,3.7599284470881855,26.370659286497794,2.7795319281683017
8,5000,True,True,1.0,0.1,283.43417413512003,3.336576576463216,21.269934037609698,1.9195763443152885
9,5000,True,False,0.9760107966228213,0.05908402409191549,283.3202638796092,3.3598995176265873,20.52943833095315,2.497600692461935
10,6000,True,True,1.0,0.1,282.00312545695033,3.065337954430362,20.353505429733556,1.6946343800628032
11,6000,True,False,0.9177538414388225,0.05699440042483517,281.3428463737666,3.2108233349170234,17.633594013771443,2.6883960683075223
12,7000,True,True,1.0,0.1,284.8024979451904,2.7688489447781137,21.19697451944268,1.6158681041578191
13,7000,True,False,0.9952569730494075,0.0566037794878268,284.80891184110044,2.774932367145283,21.071631721386307,2.078495243529728
14,8000,True,True,1.0,0.1,284.0460309850601,2.538295132275522,20.82319111175126,1.3661864429340032
15,8000,True,False,0.9827311342851034,0.05130301096635287,284.0614042835834,2.5486029386502196,20.400353261739234,1.750329209449026
16,9000,True,True,1.0,0.1,281.97428084979424,2.3828020647640358,20.01658754018067,1.2795175937301195
17,9000,True,False,0.9699463529282886,0.059953843801593965,281.92912953081003,2.4027767668764,19.24893293544805,1.9802400359775518
